,camera_id,hit_counts,id,intersection,label,locations,pole_id,timestamp,timestamp-iso
498,mlk-georgia-cam-1,8,c32b1214-4509-4dce-bea7-38f19af85f16,False,car,"[{'coords': [75.49534207620877, 541.6814362578659, 708.7689856779017, 1066.9914884575203], 'timestamp': 1559407970001}, {'coords': [179.77602407137084, 455.1434521136833, 837.728675282201, 982.0536612499322], 'timestamp': 1559407970179}, {'coords': [379.21541229095595, 358.8449374297362, 992.2771449593276, 826.7508595203309], 'timestamp': 1559407970411}, {'coords': [460.407151429414, 335.68547703348753, 1044.8218246490908, 762.9820046075554], 'timestamp': 1559407970617}, {'coords': [577.8254873324354, 308.63810196628464, 1096.8946854690864, 683.2858444252147], 'timestamp': 1559407970820}, {'coords': [691.6694356488515, 284.1712843401257, 1137.5275724568082, 608.0955705462933], 'timestamp': 1559407970978}, {'coords': [797.2278704378866, 264.7072076840843, 1162.5171168404784, 542.3771703345468], 'timestamp': 1559407971170}, {'coords': [868.0772154115608, 260.98326824053447, 1171.6223055351709, 486.7438940824544], 'timestamp': 1559407971349}]",mlk-georgia-1,1559407969361,2019-06-01 16:52:49.361
500,mlk-georgia-cam-1,2,54a1aef2-3044-4366-8acb-b1eed1bd8639,False,car,"[{'coords': [1059.0273753693375, 209.7475924662609, 1102.9637132232626, 244.71251620995574], 'timestamp': 1559407974552}, {'coords': [1058.8404860199796, 195.7448449924927, 1100.2239205515505, 228.61648656006827], 'timestamp': 1559407976788}]",mlk-georgia-1,1559407973654,2019-06-01 16:52:53.654
502,mlk-georgia-cam-1,2,008b2270-6295-4c11-838c-e81ebb4cdae7,False,car,"[{'coords': [893.0319953143487, 267.29203074899493, 1016.5233033547484, 342.30782673995924], 'timestamp': 1559407986251}, {'coords': [958.2974486125901, 243.68818707908656, 1032.7129800429148, 288.86664646385714], 'timestamp': 1559407987001}]",mlk-georgia-1,1559407985528,2019-06-01 16:53:05.528
505,mlk-georgia-cam-1,2,41694cae-53df-400f-9f95-5f71d1a8440f,False,car,"[{'coords': [920.5947927440031, 171.65098526073356, 951.27039001397, 198.0055369349041], 'timestamp': 1559407985528}, {'coords': [921.6528476159644, 171.5851980470015, 950.1810767154759, 197.6825057872617], 'timestamp': 1559407986014}]",mlk-georgia-1,1559407984619,2019-06-01 16:53:04.619
506,mlk-georgia-cam-1,3,67970e83-ed34-4c4f-aa33-5030c54237b3,False,car,"[{'coords': [320.2816248247132, 378.79688208949625, 765.8919050226557, 636.2530689609348], 'timestamp': 1559408017889}, {'coords': [515.6355351613115, 327.3681057635779, 898.4416017522974, 540.3311788317204], 'timestamp': 1559408018173}, {'coords': [654.9158209548144, 299.6176710697756, 969.1869983310504, 464.39039025030297], 'timestamp': 1559408018418}]",mlk-georgia-1,1559408016985,2019-06-01 16:53:36.985
507,mlk-georgia-cam-1,2,8d8a9216-be83-4661-9988-79e1b23de034,False,car,"[{'coords': [898.8430004912956, 267.98514328054927, 1015.1828251302658, 338.17468463118854], 'timestamp': 1559408019418}, {'coords': [950.9665661985824, 241.0894890535869, 1022.772149071353, 289.01946534323895], 'timestamp': 1559408020011}]",mlk-georgia-1,1559408018678,2019-06-01 16:53:38.678
509,mlk-georgia-cam-1,2,543b55ad-e047-4263-8381-0c2cb42eb364,False,car,"[{'coords': [995.1266900536423, 203.08317407520934, 1045.4594538573526, 240.63987698525472], 'timestamp': 1559408056017}, {'coords': [996.8422068859517, 189.79879508031465, 1039.9542723289512, 226.54420720526448], 'timestamp': 1559408057065}]",mlk-georgia-1,1559408055243,2019-06-01 16:54:15.243
511,mlk-georgia-cam-1,7,d66ff351-4a0c-46b6-8e14-df4ade0519dc,False,bus,"[{'coords': [64.01453910776297, 219.14306688987472, 669.8648829028683, 916.2453058270814], 'timestamp': 1559408068537}, {'coords': [190.90069318667275, 190.22378555764868, 797.4412502562416, 779.8608558632886], 'timestamp': 1559408068831}, {'coords': [251.930847494568, 177.62653888584543, 865.3938272616581, 700.0443869627093], 'timestamp': 1559408069132}, {'coords': [390.0797530545387, 177.28949626584057, 948.2490491415822, 623.1148151659675], 'timestamp': 1559408069378}, {'coords': [506.2744050484746, 175.5305031684934, 994.6037345423063, 545.2041429130932], 'timestamp': 1559408069594}, {'coords': [623.8449680967785, 175.41348514387053, 1030.0041151659595, 477.50830494021966], 'timestamp': 1559408069935}, {'coords': [728.280624222652, 173.49845786667572, 1043.3576418352864, 418.2634969494037], 'timestamp': 1559408070196}]",mlk-georgia-1,1559408067800,2019-06-01 16:54:27.800
513,mlk-georgia-cam-1,2,6c890afd-f65c-4e1d-92c8-caf49af36234,False,car,"[{'coords': [973.3168756732778, 171.40908649710033, 996.8268098427652, 192.36419597054268], 'timestamp': 1559408077520}, {'coords': [972.0877450674114, 162.78782308959532, 990.3221841851554, 179.52760594840825], 'timestamp': 1559408084158}]",mlk-georgia-1,1559408076986,2019-06-01 16:54:36.986
515,mlk-georgia-cam-1,2,0401d909-5a90-4cb1-a2b4-4228f5954875,False,car,"[{'coords': [958.9016925002419, 220.92416642222864, 1015.1761542851135, 264.2248966703632], 'timestamp': 1559408102756}, {'coords': [951.8146954156942, 195.00720223381055, 983.0476146090128, 224.27536499699917], 'timestamp': 1559408104690}]",mlk-georgia-1,1559408102054,2019-06-01 16:55:02.054
517,mlk-georgia-cam-1,2,4cfe3f4f-9843-416f-8e0c-99d88f856fa5,False,car,"[{'coords': [962.5437596115022, 168.92198582692134, 992.2047604877902, 193.81384161358704], 'timestamp': 1559408108349}, {'coords': [954.9626207198309, 159.56019444519262, 998.6542268447596, 194.0699259074994], 'timestamp': 1559408111247}]",mlk-georgia-1,1559408103804,2019-06-01 16:55:03.804
519,mlk-georgia-cam-1,3,e34f5b2d-9ae5-41d6-9919-a6c8433ef63f,False,car,"[{'coords': [136.49605944427265, 417.4107987337321, 651.0344930296657, 866.5187513639122], 'timestamp': 1559408113785}, {'coords': [211.22186369419137, 395.3252347044938, 749.6725918999838, 776.6677939164881], 'timestamp': 1559408114021}, {'coords': [312.6386188651258, 353.2862314490312, 838.4108061678003, 698.455399984603], 'timestamp': 1559408114293}]",mlk-georgia-1,1559408112308,2019-06-01 16:55:12.308
521,mlk-georgia-cam-1,2,ea2a5996-c66d-4705-943d-8be937e09838,False,car,"[{'coords': [954.3117664883072, 252.7440480980071, 1049.0137193249163, 318.08317010775676], 'timestamp': 1559408117243}, {'coords': [987.6925679481371, 215.4824172632614, 1044.5518228333017, 254.87834053285238], 'timestamp': 1559408119147}]",mlk-georgia-1,1559408116327,2019-06-01 16:55:16.327
524,mlk-georgia-cam-1,6,c701d127-e830-4673-a270-9103d5f84058,False,car,"[{'coords': [188.20885600047106, 379.24524864266493, 686.8852930370874, 732.5184363887955], 'timestamp': 1559408140324}, {'coords': [325.03356170672396, 336.4718882394437, 794.4355188491704, 648.8761000706684], 'timestamp': 1559408140543}, {'coords': [469.1499715797165, 293.165737440247, 890.7879656357511, 576.3804909999856], 'timestamp': 1559408140812}, {'coords': [571.9283157635946, 279.62385887407, 947.8357680180493, 520.8224437602612], 'timestamp': 1559408141104}, {'coords': [674.456051806054, 267.1461047095373, 972.7139168137277, 463.1387510679218], 'timestamp': 1559408141297}, {'coords': [767.0166314327245, 260.9274628425566, 1005.491953686117, 418.88425023546387], 'timestamp': 1559408141544}]",mlk-georgia-1,1559408139580,2019-06-01 16:55:39.580
